Index,Collection time,Acc_No,Notes
IS_01,12 February 2019 10:00,,
IS_02,12 February 2019 10:00,,
IS_03,12 February 2019 10:00,,
IS_04,12 February 2019 22:00,,
IS_05,12 February 2019 22:00,,
IS_06,12 February 2019 22:00,,
IS_07,22 February 2019 10:00,,
IS_08,22 February 2019 10:00,,
IS_09,22 February 2019 10:00,,
IS_10,22 February 2019 22:00,,
IS_11,22 February 2019 22:00,,
IS_12,22 February 2019 22:00,,
